id;ifes;area;Nome;Mod;ano base;Nota;Docen;A1;A2;B1;B2;B3;B4;B5;C
10001018016P2;UNIR;EDUCAÇÃO ESCOLAR;EDUCAÇÃO;Prof;2016;3;23;1;1;0;4;7;3;3;9
10001018017P9;UNIR;CIÊNCIAS AMBIENTAIS;CIÊNCIAS AMBIENTAIS;Acad;2013;3;17;0;4;17;0;0;1;5;0
10001018017P9;UNIR;CIÊNCIAS AMBIENTAIS;CIÊNCIAS AMBIENTAIS;Acad;2014;3;18;2;3;8;2;6;1;20;0
10001018017P9;UNIR;CIÊNCIAS AMBIENTAIS;CIÊNCIAS AMBIENTAIS;Acad;2015;3;21;1;3;11;0;2;4;2;0
10001018017P9;UNIR;CIÊNCIAS AMBIENTAIS;CIÊNCIAS AMBIENTAIS;Acad;2016;3;23;2;2;13;1;1;3;7;0
11001011001P8;UFAC;ECOLOGIA E MANEJO DE RECURSOS NATURAIS;ECOLOGIA;Acad;2013;3;22;4;4;5;6;13;3;1;3
11001011001P8;UFAC;ECOLOGIA E MANEJO DE RECURSOS NATURAIS;ECOLOGIA;Acad;2014;3;22;7;2;2;6;5;2;0;12
11001011001P8;UFAC;ECOLOGIA E MANEJO DE RECURSOS NATURAIS;ECOLOGIA;Acad;2015;3;20;9;1;6;2;4;2;0;18
11001011001P8;UFAC;ECOLOGIA E MANEJO DE RECURSOS NATURAIS;ECOLOGIA;Acad;2016;3;19;8;3;3;8;7;1;0;10
11001011003P0;UFAC;LETRAS- LINGUAGEM E IDENTIDADE;LETRAS;Acad;2014;3;15;0;1;1;0;1;4;2;1
11001011003P0;UFAC;LETRAS- LINGUAGEM E IDENTIDADE;LETRAS;Acad;2013;3;25;0;0;2;1;7;1;9;3
11001011003P0;UFAC;LETRAS- LINGUAGEM E IDENTIDADE;LETRAS;Acad;2015;3;24;0;0;3;0;13;4;15;10
11001011003P0;UFAC;LETRAS- LINGUAGEM E IDENTIDADE;LETRAS;Acad;2016;3;23;0;0;1;0;9;1;14;1
11001011004P7;UFAC;PRODUÇÃO VEGETAL;AGRONOMIA;Acad;2013;3;13;0;5;8;3;0;0;4;0
11001011004P7;UFAC;PRODUÇÃO VEGETAL;AGRONOMIA;Acad;2014;3;12;0;3;16;0;0;1;16;1
11001011004P7;UFAC;PRODUÇÃO VEGETAL;AGRONOMIA;Acad;2015;3;12;0;1;11;0;0;2;7;0
11001011004P7;UFAC;PRODUÇÃO VEGETAL;AGRONOMIA;Acad;2016;3;16;3;5;13;0;1;5;8;0
11001011005P3;UFAC;SAÚDE COLETIVA;SAÚDE COLETIVA;Acad;2013;4;15;11;7;1;4;0;2;1;2
